errore_lpv,errore_fisso
-0.0,-0.0
-7.556890827898176e-05,-7.556890827898176e-05
-0.000158338711645022,-0.000158338711645022
-0.00024429159719873523,-0.00024429159719873523
-0.00033095614571179596,-0.00033095614571179596
-0.00041912986477978626,-0.00041912986477978626
-0.0005084837854968561,-0.0005084837854968561
-0.0005991281599577163,-0.0005991281599577163
-0.0006910161616141254,-0.0006910161616141254
-0.0007841546305885524,-0.0007841546305885524
-0.0008785331299144929,-0.0008785331299144929
-0.0009741465861074455,-0.0009741465861074455
-0.0010709884479901094,-0.0010709884479901094
-0.0011690526412069004,-0.0011690526412069004
-0.0012683330397975793,-0.0012683330397975793
-0.0013688235997869871,-0.0013688235997869871
-0.0014705183263043415,-0.0014705183263043415
-0.0015734112801224164,-0.0015734112801224164
-0.0016774965754391526,-0.0016774965754391526
-0.0017827683794960328,-0.0017827683794960328
-0.001889220911848599,-0.001889220911848599
-0.0019968484437103452,-0.0019968484437103452
-0.0021056452972940706,-0.0021056452972940706
-0.00221560584516328,-0.00221560584516328
-0.002326724509591557,-0.002326724509591557
-0.0024389957619300948,-0.0024389957619300948
-0.002552414121983239,-0.002552414121983239
-0.0026669741573919596,-0.0026669741573919596
-0.002782670483025139,-0.002782670483025139
-0.002899497760378596,-0.002899497760378596
-0.003017450696981729,-0.003017450696981729
-0.0031365240458117037,-0.0031365240458117037
-0.003256712604715081,-0.003256712604715081
-0.003378011215836792,-0.003378011215836792
-0.003500414765056368,-0.003500414765056368
-0.003623918181431345,-0.003623918181431345
-0.0037485164366477365,-0.0037485164366477365
-0.0038742045444775004,-0.0038742045444775004
-0.004000977560242905,-0.004000977560242905
-0.004128830580287709,-0.004128830580287709
-0.004257758741455068,-0.004257758741455068
-0.004387757220572088,-0.004387757220572088
-0.004518821233940943,-0.004518821233940943
-0.004650946036836458,-0.004650946036836458
-0.004784126923010105,-0.004784126923010105
-0.004918359224200295,-0.004918359224200295
-0.00505363830964893,-0.00505363830964893
-0.005189959585624084,-0.005189959585624084
-0.005327318494948787,-0.005327318494948787
-0.005465710516535797,-0.005465710516535797
-0.0056051311649283056,-0.0056051311649283056
-0.005745575989846484,-0.005745575989846484
-0.005887040575739821,-0.005887040575739821
-0.006029520541345153,-0.006029520541345153
-0.006173011539250324,-0.006173011539250324
-0.006317509255463414,-0.006317509255463414
-0.006463009408987444,-0.006463009408987444
-0.006609507751400512,-0.006609507751400512
-0.006757000066441263,-0.006757000066441263
-0.00690548216959966,-0.00690548216959966
-0.007054949907712944,-0.007054949907712944
-0.007205399158566769,-0.007205399158566769
-0.007356825830501388,-0.007356825830501388
-0.007509225862022885,-0.007509225862022885
-0.007662595221419335,-0.007662595221419335
-0.007816929906381866,-0.007816929906381866
-0.007972225943630538,-0.007972225943630538
-0.008128479388545006,-0.008128479388545006
-0.008285686324799856,-0.008285686324799856
-0.008443842864004599,-0.008443842864004599
-0.008602945145348255,-0.008602945145348255
-0.00876298933524845,-0.00876298933524845
-0.008923971627004982,-0.008923971627004982
-0.009085888240457793,-0.009085888240457793
-0.009248735421649296,-0.009248735421649296
-0.009412509442490998,-0.009412509442490998
-0.00957720660043436,-0.00957720660043436
-0.009742823218145832,-0.009742823218145832
-0.009909355643186055,-0.009909355643186055
-0.010076800247693092,-0.010076800247693092
-0.010245153428069722,-0.010245153428069722
-0.01041441160467469,-0.01041441160467469
-0.010584571221517885,-0.010584571221517885
-0.010755628745959384,-0.010755628745959384
-0.010927580668412325,-0.010927580668412325
-0.011100423502049536,-0.011100423502049536
-0.01127415378251391,-0.01127415378251391
-0.011448768067632438,-0.011448768067632438
-0.011624262937133867,-0.011624262937133867
-0.011800634992369951,-0.011800634992369951
-0.011977880856040218,-0.011977880856040218
